system:index,Date,District,Month,Year,.geo
2000_08_12_2,2000-08-12,Polonnaruwa,8,2000,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
2000_08_12_3,2000-08-12,Matale,8,2000,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
2000_08_12_4,2000-08-12,Monaragala,8,2000,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
2000_08_20_0,2000-08-20,Jaffna,8,2000,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
2000_08_20_1,2000-08-20,Anuradhapura,8,2000,"{""type"":""Point"",""coordinates"":[80.4037,8.3114]}"
2000_08_20_2,2000-08-20,Polonnaruwa,8,2000,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
2000_08_20_3,2000-08-20,Matale,8,2000,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
2000_08_20_4,2000-08-20,Monaragala,8,2000,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
2000_08_28_0,2000-08-28,Jaffna,8,2000,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
2000_08_28_1,2000-08-28,Anuradhapura,8,2000,"{""type"":""Point"",""coordinates"":[80.4037,8.3114]}"
2000_08_28_2,2000-08-28,Polonnaruwa,8,2000,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
2000_08_28_3,2000-08-28,Matale,8,2000,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
2000_08_28_4,2000-08-28,Monaragala,8,2000,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
2000_09_05_0,2000-09-05,Jaffna,9,2000,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
2000_09_05_1,2000-09-05,Anuradhapura,9,2000,"{""type"":""Point"",""coordinates"":[80.4037,8.3114]}"
2000_09_05_2,2000-09-05,Polonnaruwa,9,2000,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
2000_09_05_3,2000-09-05,Matale,9,2000,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
2000_09_05_4,2000-09-05,Monaragala,9,2000,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
2000_09_13_0,2000-09-13,Jaffna,9,2000,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
2000_09_13_1,2000-09-13,Anuradhapura,9,2000,"{""type"":""Point"",""coordinates"":[80.4037,8.3114]}"
2000_09_13_2,2000-09-13,Polonnaruwa,9,2000,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
2000_09_13_3,2000-09-13,Matale,9,2000,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
2000_09_13_4,2000-09-13,Monaragala,9,2000,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
2000_09_21_0,2000-09-21,Jaffna,9,2000,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
2000_09_21_1,2000-09-21,Anuradhapura,9,2000,"{""type"":""Point"",""coordinates"":[80.4037,8.3114]}"
2000_09_21_2,2000-09-21,Polonnaruwa,9,2000,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
2000_09_21_3,2000-09-21,Matale,9,2000,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
2000_09_21_4,2000-09-21,Monaragala,9,2000,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
2000_09_29_0,2000-09-29,Jaffna,9,2000,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
2000_09_29_1,2000-09-29,Anuradhapura,9,2000,"{""type"":""Point"",""coordinates"":[80.4037,8.3114]}"
2000_09_29_2,2000-09-29,Polonnaruwa,9,2000,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
2000_09_29_3,2000-09-29,Matale,9,2000,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
2000_09_29_4,2000-09-29,Monaragala,9,2000,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
2000_10_07_0,2000-10-07,Jaffna,10,2000,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
2000_10_07_1,2000-10-07,Anuradhapura,10,2000,"{""type"":""Point"",""coordinates"":[80.4037,8.3114]}"
2000_10_07_2,2000-10-07,Polonnaruwa,10,2000,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
2000_10_07_3,2000-10-07,Matale,10,2000,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
2000_10_07_4,2000-10-07,Monaragala,10,2000,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
2000_10_15_0,2000-10-15,Jaffna,10,2000,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
2000_10_15_1,2000-10-15,Anuradhapura,10,2000,"{""type"":""Point"",""coordinates"":[80.4037,8.3114]}"
2000_10_15_2,2000-10-15,Polonnaruwa,10,2000,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
2000_10_15_3,2000-10-15,Matale,10,2000,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
2000_10_15_4,2000-10-15,Monaragala,10,2000,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
2000_10_23_0,2000-10-23,Jaffna,10,2000,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
2000_10_23_1,2000-10-23,Anuradhapura,10,2000,"{""type"":""Point"",""coordinates"":[80.4037,8.3114]}"
2000_10_23_2,2000-10-23,Polonnaruwa,10,2000,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
2000_10_23_3,2000-10-23,Matale,10,2000,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
2000_10_23_4,2000-10-23,Monaragala,10,2000,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
2000_10_31_0,2000-10-31,Jaffna,10,2000,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
2000_10_31_1,2000-10-31,Anuradhapura,10,2000,"{""type"":""Point"",""coordinates"":[80.4037,8.3114]}"
2000_10_31_2,2000-10-31,Polonnaruwa,10,2000,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
2000_10_31_3,2000-10-31,Matale,10,2000,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
2000_10_31_4,2000-10-31,Monaragala,10,2000,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
2000_11_08_0,2000-11-08,Jaffna,11,2000,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
2000_11_08_1,2000-11-08,Anuradhapura,11,2000,"{""type"":""Point"",""coordinates"":[80.4037,8.3114]}"
2000_11_08_2,2000-11-08,Polonnaruwa,11,2000,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
2000_11_08_3,2000-11-08,Matale,11,2000,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
2000_11_08_4,2000-11-08,Monaragala,11,2000,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
2000_11_16_0,2000-11-16,Jaffna,11,2000,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
2000_11_16_1,2000-11-16,Anuradhapura,11,2000,"{""type"":""Point"",""coordinates"":[80.4037,8.3114]}"
2000_11_16_2,2000-11-16,Polonnaruwa,11,2000,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
2000_11_16_3,2000-11-16,Matale,11,2000,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
2000_11_16_4,2000-11-16,Monaragala,11,2000,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
2000_11_24_0,2000-11-24,Jaffna,11,2000,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
2000_11_24_1,2000-11-24,Anuradhapura,11,2000,"{""type"":""Point"",""coordinates"":[80.4037,8.3114]}"
2000_11_24_2,2000-11-24,Polonnaruwa,11,2000,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
2000_11_24_3,2000-11-24,Matale,11,2000,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
2000_11_24_4,2000-11-24,Monaragala,11,2000,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
2000_12_02_0,2000-12-02,Jaffna,12,2000,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
2000_12_02_1,2000-12-02,Anuradhapura,12,2000,"{""type"":""Point"",""coordinates"":[80.4037,8.3114]}"
2000_12_02_2,2000-12-02,Polonnaruwa,12,2000,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
2000_12_02_3,2000-12-02,Matale,12,2000,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
2000_12_02_4,2000-12-02,Monaragala,12,2000,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
2000_12_10_0,2000-12-10,Jaffna,12,2000,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
2000_12_10_1,2000-12-10,Anuradhapura,12,2000,"{""type"":""Point"",""coordinates"":[80.4037,8.3114]}"
2000_12_10_2,2000-12-10,Polonnaruwa,12,2000,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
2000_12_10_3,2000-12-10,Matale,12,2000,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
2000_12_10_4,2000-12-10,Monaragala,12,2000,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
2000_12_18_0,2000-12-18,Jaffna,12,2000,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
2000_12_18_1,2000-12-18,Anuradhapura,12,2000,"{""type"":""Point"",""coordinates"":[80.4037,8.3114]}"
2000_12_18_2,2000-12-18,Polonnaruwa,12,2000,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
2000_12_18_3,2000-12-18,Matale,12,2000,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
2000_12_18_4,2000-12-18,Monaragala,12,2000,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
2000_12_26_0,2000-12-26,Jaffna,12,2000,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
